"Source:","C:\Users\eaag_\OneDrive\Desktop\TPA3128D2_GuitarAudioAmplifier\TPA3128D2_GuitarAudioAmplifier.kicad_sch"
"Date:","15/02/2024 23:41:07"
"Tool:","Eeschema 7.0.9"
"Generator:","E:\toni\Apps\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","51"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, C4, C33, C34, C35, C36, ","8","220nF","C","","Unpolarized capacitor",""
"C5, C6, C7, C8, C27, C38, ","6","680nF","C","","Unpolarized capacitor",""
"C9, C10, C12, C13, C14, C21, C28, C29, ","8","1uF","C","","Unpolarized capacitor",""
"C11, C32, ","2","47pF","C","","Unpolarized capacitor",""
"C15, C18, C22, C23, ","4","1nF","C","","Unpolarized capacitor",""
"C16, C19, C24, C25, ","4","100nF","C","","Unpolarized capacitor",""
"C17, C20, C26, C30, ","4","100uF","C_Polarized_Small_US","","Polarized capacitor, small US symbol",""
"L1, L2, L3, L4, L5, L7, ","6","10uH","L","","Inductor",""
"R1, R3, R7, ","3","100K","R","","Resistor",""
"R2, ","1","4.7K","R","","Resistor",""
"R4, ","1","20K","R","","Resistor",""
"R5, ","1","47K","R","","Resistor",""
"R6, ","1","75K","R","","Resistor",""
"U1, U2, ","2","TPA3128D2","SSM2165","Package_SO:HTSSOP-32-1EP_6.1x11mm_P0.65mm_EP5.2x11mm_Mask4.11x4.36mm","Microphone Preamplifier with Variable Compression and Noise Gating, DIP-8/SOIC-8",""
